2 50000
0.0553356 2.90007 4.17962 
2.23106 3.1334 4.45484 
0.171652 2.73355 3.97377 
2.2243 3.15961 4.07239 
0.276954 3.09506 4.49582 
2.12045 2.79351 3.26131 
0.442575 3.17867 3.57453 
1.96308 2.62283 4.27396 
1.98028 2.618 3.39063 
0.428118 3.25945 3.95292 
1.96885 2.58522 3.63852 
0.462208 3.01126 3.46341 
1.93812 2.83225 2.52785 
2.00764 2.86156 2.87613 
0.393657 2.98344 2.75353 
2.09919 2.93417 2.92337 
0.128315 3.04182 4.01697 
0.0151865 3.02633 5.13163 
2.22949 2.67666 4.99597 
0.170895 3.2619 4.73406 
0.161425 3.2359 4.635 
2.23334 2.63305 4.63151 
0.386308 2.82776 5.17032 
2.01149 3.11033 3.20523 
2.0965 3.05515 3.36959 
0.308538 2.83994 3.23895 
2.08933 3.00255 3.18904 
2.22293 2.82317 4.8067 
0.358123 3.30923 4.76331 
2.03991 2.58087 3.82638 
2.04634 2.58586 3.89811 
0.354527 3.33634 4.12109 
1.6844 2.60111 5.50984 
0.718729 3.28175 2.5468 
1.63142 2.89827 2.50299 
0.372465 2.93321 2.6397 
-0.100556 2.96237 5.11215 
2.31685 3.0104 5.20652 
0.219495 2.85121 4.06403 
2.03344 2.76125 3.8725 
2.08815 2.77368 3.55572 
2.12681 2.76116 3.76482 
0.276658 3.12121 3.40597 
2.118 2.91085 6.69001 
0.285737 2.93369 3.31819 
2.11257 2.99115 3.26014 
0.365245 3.0223 3.0651 
2.03092 2.89203 2.93609 
0.370306 2.9844 2.63214 
0.337619 2.98909 2.85671 
2.06228 2.89004 2.75255 
0.342239 3.00501 2.97121 
1.97531 2.93566 2.73406 
2.392 2.9305 4.42882 
2.40111 2.93552 4.72909 
0.189632 2.9314 4.56181 
0.142726 2.91782 4.24476 
2.25216 2.93958 3.99967 
0.150673 2.98262 3.94948 
2.2461 2.88012 3.79662 
2.25857 2.88474 3.81254 
0.283113 2.97987 3.71428 
2.11284 2.89093 3.15988 
0.289316 2.92183 3.71579 
2.19205 3.08968 3.73748 
0.215383 2.78531 4.0595 
2.05164 2.74201 4.23789 
0.158339 3.14466 4.08089 
2.09754 2.65445 4.36434 
-0.158787 3.25543 7.84869 
2.50328 3.12688 7.37727 
-0.0966863 2.79992 6.0402 
2.49613 3.12025 5.5113 
-0.0938017 2.80328 5.58173 
2.26405 2.79864 5.80478 
0.29491 2.93351 3.9587 
2.10394 2.93215 2.97037 
0.412231 2.84484 3.0227 
2.21508 3.09779 3.90759 
0.185059 2.71105 4.57722 
0.0846055 2.70042 4.77845 
2.0892 2.82759 5.1667 
0.314057 3.06698 3.08949 
2.08144 2.85438 3.34254 
2.2012 2.84061 3.9839 
0.204004 3.05934 3.77706 
2.19275 2.83039 3.56591 
0.211804 3.09361 3.93428 
2.18739 2.7462 3.84791 
0.221227 3.05138 5.27518 
2.35106 2.75251 4.57727 
0.0583033 3.02305 6.85884 
2.18118 2.88686 4.21778 
2.23592 2.87376 4.11133 
0.164071 3.03618 3.72439 
2.23255 2.85427 3.73644 
2.30571 2.84963 4.08627 
2.4409 2.85835 4.99867 
0.170428 2.99954 4.91239 
2.08871 2.63888 4.36954 
0.404672 3.00535 3.62416 
2.25416 2.86331 4.04406 
0.149677 3.05582 4.06408 
2.24764 2.8826 4.22198 
0.152644 3.06244 4.27069 
2.24585 2.8222 3.7562 
0.298539 3.18606 4.13656 
2.10343 3.08492 4.11538 
0.141639 2.91123 4.04024 
2.1224 3.04321 3.76727 
2.18402 3.04908 3.51016 
0.33634 2.72238 3.69786 
0.336876 2.72056 3.25537 
1.96738 3.01384 3.12771 
2.04082 2.96561 2.92387 
0.230026 2.94012 3.25503 
0.166975 3.02418 4.06444 
2.22852 2.8575 3.78455 
0.175861 2.99922 3.83118 
2.03581 3.0643 3.8753 
0.370489 2.88447 3.71387 
2.02971 3.02901 2.78153 
0.540212 3.07712 3.09791 
1.85707 2.80871 2.18312 
1.87505 2.80433 2.25653 
0.528557 2.98537 3.47412 
1.78072 2.90398 2.02367 
0.620328 2.9661 1.75339 
1.77813 2.94034 1.81915 
1.83443 2.94447 1.92759 
1.87226 2.93568 2.23377 
1.89231 2.93037 2.18688 
0.506819 3.01739 2.73141 
1.89259 2.83059 2.3261 
0.743538 3.19642 3.08877 
1.6305 2.85133 1.92824 
0.876986 2.77102 1.92214 
1.52201 3.1452 1.61483 
0.777013 2.7056 1.84615 
1.65436 2.54706 3.28124 
0.749873 3.38593 3.46064 
0.744019 3.35861 3.15784 
0.694847 3.37468 3.2039 
1.69925 2.51872 3.4353 
1.74375 2.51415 3.21131 
1.84812 2.46516 4.09218 
0.566167 3.39806 3.90619 
0.559163 3.35385 3.76816 
1.83491 2.53317 3.68299 
1.75604 2.4132 4.37806 
0.642058 3.49391 4.29241 
1.70258 2.42066 4.36188 
0.69369 3.50953 4.54567 
1.7025 2.36819 4.45723 
1.75465 2.37131 4.44516 
0.642975 3.58974 5.83302 
1.79152 2.97267 6.16723 
0.534618 2.9721 2.05738 
1.86387 2.90763 2.00716 
1.92043 2.90254 2.25934 
2.13707 2.88353 3.16911 
0.378984 3.14683 3.43544 
2.15907 2.71371 3.6548 
2.17548 2.70746 3.9113 
0.228087 3.13928 3.95206 
2.17276 2.69421 4.02691 
2.18322 2.71419 4.04776 
0.223928 3.13934 4.27907 
2.09761 3.0648 4.00311 
0.303673 2.78772 3.19725 
0.157869 2.78188 4.07452 
2.14368 2.95016 3.80789 
0.262544 2.93518 3.4622 
2.1339 2.94825 3.18294 
0.455247 2.70307 3.78667 
2.11586 3.13831 3.54222 
0.589817 2.71699 4.26085 
0.552309 2.69871 2.42861 
0.497446 2.68242 2.67825 
1.90259 3.22027 2.79103 
0.493241 2.98706 3.07973 
2.00671 2.91782 2.52687 
0.397349 2.89745 3.32046 
2.00248 3.02318 2.73399 
0.371839 2.63297 4.02155 
2.02099 2.97709 3.50965 
0.256493 2.77445 3.55668 
0.253525 2.78498 3.36275 
2.1448 3.13633 3.62757 
0.0757329 2.78218 4.42414 
2.3208 2.99163 5.97979 
0.0869056 2.88949 4.59104 
-0.0163105 2.87142 4.62208 
2.41003 3.06135 5.39183 
0.121624 2.91157 4.63434 
2.27792 3.03536 4.43323 
0.127575 2.87048 4.19415 
2.26632 2.99851 4.15459 
2.31252 2.98905 4.31162 
0.289573 3.09613 4.44603 
2.11021 2.78208 3.15799 
0.151282 3.08854 3.86553 
2.24063 2.88193 5.47996 
2.33264 2.79655 4.71925 
0.230191 2.76042 4.89376 
2.16577 3.10905 3.65689 
0.237053 2.84372 4.15835 
2.26417 3.11995 4.01819 
-0.0667877 2.93109 5.6265 
2.22438 2.76163 5.46798 
2.29233 2.72774 4.27447 
2.42385 2.72687 5.00703 
-0.0187429 3.21728 5.94445 
-0.173469 3.22252 6.32493 
2.56506 2.61928 7.2796 
0.0251316 2.94595 6.59602 
-0.338858 2.83127 7.17445 
2.72988 3.10461 8.13188 
2.84687 3.11695 8.37894 
-0.444111 2.72189 8.33469 
2.63974 2.90182 8.20426 
-0.237329 3.05386 6.95188 
2.83663 2.551 9.7612 
-0.249573 3.0096 8.88669 
2.48361 2.86811 6.16289 
-0.310945 2.97161 6.73839 
2.70936 2.87485 6.80882 
-0.304562 3.0534 7.15577 
2.49163 2.76547 6.85952 
2.60847 2.78464 7.1156 
2.72588 2.76789 7.74625 
-0.094241 3.09956 7.11327 
2.2935 2.70868 5.63308 
2.35377 2.69372 5.37347 
2.35803 2.71365 4.77554 
0.238315 2.66665 6.18803 
2.16318 3.31269 5.51718 
0.243867 2.62975 5.19156 
2.15473 3.29511 4.39885 
0.247652 2.5289 4.97739 
0.199539 2.5362 4.88769 
2.08043 2.93826 5.02808 
2.20874 2.8328 3.83875 
2.27002 2.8963 4.30126 
0.272021 2.79008 4.06289 
2.26216 3.159 4.12181 
0.347239 3.0511 4.68931 
1.91707 2.73291 3.10313 
0.484415 3.16447 2.61061 
1.61967 2.70043 3.61324 
0.785409 3.15636 2.09948 
1.64893 2.92831 1.81749 
0.75136 2.96834 1.40886 
0.669754 2.95749 1.91231 
0.595773 2.9947 1.90695 
1.80034 2.90592 1.99099 
0.71788 2.74751 2.29364 
1.65847 2.88108 1.96941 
0.74277 2.98805 1.45995 
1.51338 2.66709 2.80728 
0.591554 3.19276 3.2131 
1.54193 2.69341 3.21916 
1.97719 2.79774 3.00229 
0.426565 3.07743 2.68664 
2.0838 2.76941 3.0845 
0.460204 2.9512 3.158 
1.93634 2.99748 3.00798 
2.1363 3.02469 3.2152 
0.245095 2.61428 4.81933 
2.03996 2.83133 4.66203 
0.605067 3.0518 3.21533 
1.68743 2.71791 2.2208 
0.707819 3.22872 2.87373 
1.51364 2.64191 2.41737 
0.702608 2.556 3.55089 
1.69454 3.34356 2.94661 
1.96804 3.43262 4.47462 
0.449697 2.92566 4.73598 
1.94833 2.97158 2.35001 
0.264117 2.85446 3.29149 
0.218868 2.84486 3.6559 
0.123311 2.85723 4.2746 
2.10295 2.79646 4.23751 
0.426778 2.90803 3.19568 
1.90457 2.86296 2.45073 
0.498259 3.06 2.51494 
2.01715 2.93028 2.83107 
0.385941 2.9875 2.82054 
2.01081 2.89624 2.64194 
0.263637 3.01134 3.12649 
2.13359 2.87011 3.17399 
2.21291 2.88955 3.83808 
0.18979 3.0374 3.84346 
2.20445 2.87782 3.945 
0.196823 2.96116 3.69966 
0.181364 2.93008 4.00975 
2.21332 2.97615 3.81578 
2.28381 2.98526 4.08438 
2.3337 2.98942 4.22009 
0.0690929 2.87985 4.20319 
2.32855 3.03612 4.33687 
0.219899 3.11785 4.62929 
1.93208 3.2802 5.69457 
0.497009 2.83884 3.17916 
0.488515 2.82465 2.30153 
1.91409 3.14692 3.61935 
0.516575 2.92562 2.5512 
1.8792 2.98595 2.34022 
1.9645 2.98741 2.35542 
0.440455 2.87986 2.62056 
2.2128 2.89836 3.9893 
0.377893 2.8372 3.74396 
0.30768 2.8342 2.9922 
1.93413 2.84018 3.25945 
0.491193 2.67014 3.33906 
1.91095 3.25412 3.1753 
0.53574 2.65072 3.03997 
1.95132 3.17873 3.57406 
0.487795 2.88976 2.76946 
1.9086 2.93762 2.71254 
0.56804 2.96172 2.12278 
0.448989 3.02927 2.47588 
1.94973 2.88984 2.53592 
1.9906 2.8845 2.56512 
0.414187 3.02521 2.80164 
0.377654 3.03579 2.66373 
2.07453 2.72966 3.29549 
0.433841 2.98829 3.16791 
0.216799 2.91762 3.44585 
2.08591 2.8163 3.46341 
0.317705 3.07482 3.1078 
0.283476 3.06217 3.16258 
2.11507 2.80866 3.14646 
0.286953 3.07821 3.15903 
1.81456 2.72945 4.07527 
1.73153 2.438 4.37481 
0.667986 3.51207 4.75885 
1.71345 2.40168 4.47371 
0.627316 2.9505 4.57656 
1.92587 2.9646 2.30737 
0.477141 2.91652 2.27613 
0.383341 2.90121 3.20513 
0.214162 2.79874 3.68254 
2.11611 2.96031 3.46904 
0.420388 3.2861 4.30096 
0.41599 3.26379 3.46148 
0.31409 3.26605 3.73879 
2.01834 2.95335 3.91604 
0.714829 3.19509 4.28682 
1.84856 3.32989 3.80715 
1.92023 3.3468 3.58138 
0.327269 2.96569 4.62633 
0.286045 2.95249 3.49442 
2.21551 2.89727 3.47815 
0.266356 2.92283 3.45873 
1.96169 2.77736 3.46625 
1.97284 2.80204 2.87482 
0.428979 3.04197 2.73343 
1.97053 2.7992 2.73916 
0.310278 3.17489 3.37456 
2.06348 2.74534 3.65031 
0.495438 3.13083 3.26013 
1.76078 3.07265 2.96566 
0.738899 2.9919 1.94877 
1.58195 3.29345 2.89626 
0.868108 2.83858 2.2767 
1.63609 2.93234 1.6677 
1.7015 2.92756 1.56525 
0.800995 3.34061 3.21456 
1.70195 2.39944 4.0597 
1.89438 2.39468 4.70426 
1.90933 2.4554 5.16538 
0.589399 3.40344 4.17747 
0.578588 3.37593 3.93312 
1.75018 2.75333 3.38352 
0.503162 3.04167 2.51785 
0.473204 3.03039 2.53451 
1.79833 2.75466 2.54117 
0.668721 2.82936 2.42471 
1.63042 2.71406 2.50179 
1.66866 2.70245 1.90882 
0.836503 3.18195 1.93799 
0.806536 3.18282 1.77441 
0.592321 3.27998 2.77313 
1.80315 2.61115 2.96035 
0.452459 3.2971 3.46715 
