2 10000
2.09718 2.60176 3.88366 
0.309708 3.30947 4.537 
2.34791 2.56239 5.78574 
0.060694 3.36445 6.54805 
2.15125 2.78 5.68177 
0.252348 3.00508 4.76234 
2.03045 2.87294 3.16652 
0.37495 3.0104 2.90815 
2.15962 2.87339 3.24407 
0.245312 3.02122 3.46794 
2.15473 2.81468 3.56379 
2.19622 2.80188 3.55893 
0.358989 3.03838 3.57687 
0.24324 3.02789 3.53998 
1.95568 2.60949 4.32101 
0.442055 3.33707 4.11449 
1.95206 2.4914 4.61357 
0.556844 2.90814 4.47735 
0.202759 2.84698 3.88814 
2.01658 3.17025 3.9166 
2.13873 3.1504 4.58794 
0.0138302 2.8061 5.02269 
2.22106 2.69564 5.51937 
2.32233 2.68812 4.71555 
0.284951 3.20625 4.96327 
0.105612 3.1411 4.67363 
2.12088 2.80193 4.29224 
0.631969 2.70125 5.20473 
1.76339 3.21144 2.58062 
0.679289 2.68717 2.31518 
1.71971 3.21211 2.19453 
0.726683 2.91388 2.2213 
0.708573 2.91053 1.52882 
1.69033 2.95577 1.52722 
0.803769 2.63768 2.42968 
0.792148 2.67067 2.38118 
1.32858 3.25993 3.23688 
1.06923 2.57291 2.34649 
1.29395 3.2934 2.09247 
1.47983 2.73238 4.01608 
0.936325 3.25753 1.95846 
1.46251 2.6084 2.00607 
1.47132 2.62461 2.19117 
0.926539 3.28403 2.14328 
1.43292 2.8592 2.06546 
1.54345 2.8938 1.28782 
0.66261 3.13417 1.93181 
1.73183 2.77479 2.26825 
1.87187 2.78753 2.29724 
0.533358 3.10909 2.511 
1.97738 2.54946 4.1658 
0.390158 3.00678 3.88884 
2.0656 2.76351 3.14832 
0.334545 3.16631 3.43147 
2.05985 2.76786 3.77442 
0.33662 3.20111 4.37491 
1.99554 2.88766 3.3072 
0.247778 2.83093 3.74592 
0.242148 2.83808 3.33307 
2.34375 3.12894 4.57219 
0.158666 3.09719 4.97988 
2.23351 2.83293 4.64622 
