2 100
1.41243 1.89336 10.7516 
0.973201 3.95754 10.3615 
1.36618 1.95116 9.79718 
0.920503 3.33565 9.24009 
0.892927 3.33272 2.4443 
1.50246 2.51513 2.93186 
0.895244 3.39132 2.89577 
1.44142 2.51339 2.88166 
0.901075 3.02809 2.70347 
1.4977 2.84751 1.1849 
1.49927 2.77318 1.48421 
1.48858 2.63287 2.07047 
1.66955 2.51255 3.33712 
1.79028 2.5268 3.57469 
0.590506 3.03318 3.29303 
1.80595 2.8369 2.0224 
2.0157 2.85318 2.66872 
0.384405 3.03931 2.6242 
1.92886 3.03324 2.78805 
0.565002 3.02886 2.4378 
0.490973 3.04028 2.56869 
1.90525 2.84115 2.34559 
2.07077 2.88524 2.95625 
2.08089 2.88996 2.98735 
0.430182 3.10158 3.03449 
1.79946 3.1298 3.39805 
0.708838 2.8177 2.12151 
0.590457 2.82481 1.99425 
1.93468 3.1214 2.55517 
0.541225 2.9125 2.50084 
1.7215 2.65207 2.99579 
0.68716 3.22003 2.98034 
1.7084 2.65638 2.40446 
0.882432 3.11555 2.53811 
1.87341 2.91856 2.33887 
0.398897 2.93424 2.53042 
0.239653 3.03856 3.4988 
1.99841 3.11178 3.79475 
0.403861 2.76278 2.7817 
1.8631 2.80393 3.2349 
0.635495 2.76782 2.69735 
1.68524 2.86817 2.14318 
0.827319 2.81197 1.84028 
1.57175 3.07768 1.38568 
0.781084 2.67377 2.04773 
1.55626 2.84925 2.33893 
0.551316 3.10855 2.17339 
1.76799 2.56853 3.46784 
0.628164 3.37789 3.85764 
1.77007 2.46945 3.681 
0.630824 3.37763 3.79684 
1.95441 2.47392 4.41756 
1.99493 2.47627 4.34097 
0.405011 3.45002 4.78699 
1.94189 2.7911 4.60988 
0.454723 3.15761 3.31381 
1.94014 2.70728 2.99045 
0.309137 3.12292 3.3733 
2.08882 2.73905 3.27132 
0.419916 2.77986 3.81219 
0.416301 2.78769 2.65557 
1.98513 3.13599 2.94675 
0.415419 2.69914 3.15977 
62 
