2 50000
1.17501 3.09416 1.14754 
1.09998 3.12511 1.25269 
1.04393 3.09968 1.24642 
1.17465 3.0357 1.4587 
1.10552 2.91265 1.7179 
1.10745 2.84592 1.15334 
1.25303 2.98998 2.1976 
1.47562 2.97156 1.60209 
1.54639 3.13604 2.67245 
1.41264 3.07384 1.73716 
1.31315 3.21967 2.51896 
1.23895 3.1165 1.9519 
1.26447 3.20648 1.72693 
1.3436 3.15363 1.62632 
1.3471 3.07624 1.49764 
1.44269 3.04149 1.27063 
1.22596 2.97811 1.76006 
1.02965 3.0831 2.0036 
0.928283 3.23445 2.71088 
1.17288 3.27943 2.67637 
1.24301 3.13752 2.5877 
1.40325 3.10768 1.57374 
1.23753 3.04699 1.60867 
1.0404 3.05055 1.47739 
1.00898 2.86628 2.68779 
1.1583 2.81656 1.40297 
1.15713 2.70794 1.75742 
1.54634 2.66165 3.54724 
1.61608 2.87969 3.98193 
1.60402 2.75831 2.19371 
1.75087 2.87765 2.60038 
1.6437 2.76134 2.48373 
1.47568 2.77298 1.84478 
1.31528 2.71219 1.83508 
1.49056 2.63513 2.30518 
1.55111 2.54557 2.68636 
1.45121 2.63521 2.7346 
1.26258 2.67867 2.19967 
1.38737 2.71957 1.71403 
1.26319 2.65941 1.85323 
1.34842 2.68591 1.66755 
1.32975 2.83359 2.32321 
1.42994 2.73528 1.79106 
1.40797 2.64798 1.94161 
1.32537 2.6418 1.81102 
1.22811 2.67466 1.77118 
1.13631 2.72989 1.63936 
1.25191 2.77634 1.46355 
1.50963 2.85734 2.26988 
1.67848 2.70666 3.01664 
1.37289 2.63437 3.25046 
1.36792 2.5369 2.55036 
1.4811 2.55938 2.56192 
1.36831 2.63022 2.48361 
1.24401 2.65767 1.91842 
1.24061 2.6855 1.55945 
1.49319 2.8477 3.35801 
1.49239 2.91423 1.35251 
1.41228 2.90758 1.12985 
1.36038 2.94895 1.08431 
1.42482 3.02095 1.30067 
1.51851 3.02775 1.23987 
1.65766 3.10905 1.99127 
1.64838 3.16702 1.92544 
