2 2000
4.41153 2.52167 29.2246 
-2.0014 3.39713 29.4273 
3.98154 3.03068 29.1132 
-1.2423 2.58995 21.2842 
3.64398 3.38009 18.3217 
-1.23766 2.46476 18.1731 
-1.24319 2.47589 17.8299 
-1.25193 2.50093 17.8971 
-1.25867 2.55074 17.6909 
3.32754 3.18529 17.3816 
-0.646385 3.19776 14.0666 
-0.847655 3.20129 11.9675 
3.24586 2.67644 11.9719 
2.49127 2.8237 11.617 
-0.0862199 3.14232 6.53548 
2.23852 2.48212 7.04426 
0.344403 3.12507 5.40479 
0.314872 3.22409 3.87347 
0.257014 3.22255 4.17765 
2.15152 3.02214 4.26979 
0.253402 2.81575 3.74635 
2.05736 3.05511 3.2611 
0.344104 2.82529 2.84047 
2.05173 3.0903 3.17956 
0.350288 2.83394 3.11985 
0.313194 2.84512 3.32077 
2.00269 2.78806 3.28745 
2.03646 2.81068 3.16899 
2.07562 2.82358 3.29783 
2.15435 2.82305 3.27419 
0.246575 3.10047 3.57365 
2.14877 2.79336 3.56492 
0.203195 3.2605 4.50012 
2.20277 2.52544 6.27623 
0.195692 3.39129 5.20714 
2.20037 2.48687 5.29782 
0.203156 3.39723 5.27021 
2.07063 2.98843 5.66147 
0.32792 2.82179 3.62506 
1.94284 2.89076 3.02178 
0.459461 2.93638 2.75468 
1.82235 2.84464 2.37536 
0.581378 3.05198 2.0922 
1.81736 2.80639 2.05743 
0.631492 3.06401 1.99694 
0.594568 3.05833 2.01098 
1.80462 2.82755 1.90849 
0.474326 3.05269 2.3445 
1.92513 2.81215 2.35995 
0.492221 2.61463 3.85599 
1.90405 3.29791 3.3963 
0.484649 2.61663 3.44876 
0.37362 2.60806 3.70774 
0.364348 2.60391 3.70258 
0.347127 2.65291 4.34098 
2.05298 3.25659 3.58678 
0.188927 2.57911 4.61119 
2.08358 3.00378 4.58854 
0.31717 2.87162 2.87118 
1.89105 3.30007 4.17584 
0.550477 2.85222 3.15785 
0.0775488 2.91516 4.49786 
2.16825 2.82273 4.22239 
0.236563 3.0995 3.8322 
2.08962 2.92392 3.40539 
2.12686 2.93038 3.18872 
0.278492 2.94644 3.29039 
2.01662 2.83497 3.098 
0.474689 2.55265 4.57827 
1.82215 3.32565 3.45939 
0.604933 2.57155 3.12337 
0.5549 2.57515 3.10382 
0.511511 2.57664 3.21029 
1.87851 3.28964 4.14065 
0.526163 2.59414 3.26853 
1.93 2.92817 3.45529 
0.597034 2.91546 2.26458 
0.421984 2.99815 2.52898 
1.97354 2.89881 2.62346 
0.42716 2.99572 2.41237 
1.84382 3.00289 2.50845 
1.88078 3.0111 2.27344 
1.90046 3.00917 2.17116 
0.502458 2.87457 2.21413 
2.11177 2.84155 3.7293 
0.481966 2.55962 5.08149 
1.93035 3.48729 4.84381 
0.474253 2.40539 4.9369 
0.464029 2.4279 4.94382 
0.444145 2.43239 4.62469 
1.94539 3.41869 4.67729 
