2 500
2.03596 1.71152 19.7532 
0.685649 4.11875 16.2626 
1.75352 2.67242 13.5543 
0.646971 3.25453 2.66822 
1.76291 2.94735 2.68682 
1.81353 3.05726 2.39629 
0.405902 2.95902 2.97847 
2.11792 2.94001 3.00286 
0.446166 2.68974 3.72851 
0.406694 2.65583 3.16053 
1.90977 3.22112 3.11937 
0.747994 2.7144 3.47647 
1.65183 2.93905 1.92292 
1.77156 2.99602 1.77235 
0.631105 2.8763 1.79873 
1.66859 3.06329 1.84029 
0.60516 2.75516 2.1311 
0.600156 2.76542 2.12097 
0.541942 2.76563 2.22729 
1.83087 2.80217 2.68442 
0.517754 3.14165 2.3873 
1.94189 3.26426 4.30664 
1.94961 3.24115 3.29531 
0.454854 2.64143 3.23596 
1.92232 2.65185 4.8126 
0.26451 3.26331 4.17598 
2.08073 2.85299 3.92756 
2.20719 2.87476 4.78844 
0.193082 3.03958 3.61833 
0.15788 3.07932 4.25046 
2.13898 3.03382 3.95935 
0.382285 3.11099 3.60489 
0.377301 3.09324 2.85704 
2.0177 2.86287 3.71624 
0.386929 2.99339 2.87871 
0.335591 2.9967 2.81879 
2.05856 2.91285 3.18374 
0.191223 3.06526 3.69793 
2.0589 2.95658 3.62593 
2.1725 2.96081 3.28808 
2.21109 2.97198 3.4869 
2.32169 2.97776 4.12299 
0.27533 3.00969 4.22452 
2.12229 2.92464 3.4744 
0.282593 2.8843 4.02342 
2.13365 3.23415 4.53804 
0.271019 2.60906 4.32469 
0.274625 2.60292 4.12504 
0.236833 2.60374 4.64688 
2.17904 2.8773 4.70458 
2.48166 2.83772 5.19992 
2.50986 2.83442 5.44675 
-0.270808 3.13211 6.6417 
-0.293476 3.1125 6.95525 
-0.337252 3.12025 7.39953 
-0.365023 3.11076 7.75543 
2.56206 2.88231 7.2478 
2.65022 2.88597 6.98808 
-0.119035 2.7838 6.45106 
2.34777 3.0844 5.497 
0.180032 3.15071 5.07559 
2.15703 3.12394 4.58716 
2.2933 3.06328 4.43681 
0.264402 2.9216 4.0261 
0.198836 2.91767 3.44982 
2.06642 2.97422 3.39992 
2.1211 2.96151 3.47913 
0.280427 2.89298 3.13656 
2.1198 3.06065 3.80388 
0.205988 2.63421 4.49313 
2.19331 3.27995 4.39587 
0.213636 2.58094 4.91383 
0.1014 2.57069 5.32137 
-0.0325102 2.56815 5.86277 
2.34757 2.94758 6.02485 
0.0553099 2.85199 5.27573 
2.34118 3.01997 4.33305 
2.35435 3.02393 4.3913 
0.184116 3.10768 4.67461 
0.139485 3.09365 4.51403 
2.1082 2.70906 4.19768 
0.296138 3.17515 3.57468 
2.10002 2.72706 3.53719 
0.382983 2.95969 3.30934 
2.05082 2.72891 3.59442 
0.354511 3.19557 3.68199 
1.97497 2.85417 3.17878 
0.465162 2.7437 3.00529 
0.395334 2.71881 2.9128 
2.00161 3.12124 3.18574 
2.03089 3.12042 2.91871 
0.367447 2.70397 3.50449 
1.94736 2.78716 3.72523 
0.534884 3.05029 2.47486 
2.07694 2.87594 3.12754 
0.146754 3.07773 3.92568 
2.17231 3.16539 4.60361 
0.229267 2.71911 3.68399 
2.16418 3.13154 4.14223 
0.139022 2.62032 4.65409 
2.26667 3.34653 6.22581 
0.142644 2.61762 6.66497 
2.25013 3.26226 5.05054 
0.32583 2.92287 4.7018 
2.07421 2.87473 3.85499 
2.09623 2.86513 2.98544 
0.306039 3.03906 3.0605 
2.09367 2.83788 2.96048 
2.10786 2.82492 3.1198 
2.1994 2.81418 3.82297 
0.20408 3.03502 3.74404 
2.19316 2.84443 3.49695 
0.338723 2.99761 3.42655 
0.2487 2.99152 3.26502 
2.14889 2.96825 4.07606 
0.418652 2.64867 4.04168 
0.09319 2.68493 4.72806 
0.0721561 2.68438 4.73907 
2.32509 3.18163 4.68726 
0.218401 2.87597 4.52821 
2.1804 3.07628 4.10588 
0.373267 2.85368 3.48385 
2.1167 3.03673 3.0522 
0.470291 2.57821 4.28894 
0.395514 2.58218 3.64379 
1.9475 2.94587 3.75981 
0.748299 2.76597 3.38773 
0.545547 2.81552 2.48089 
0.310532 2.74574 3.21461 
2.04523 2.83997 3.51487 
0.414614 2.49658 5.20253 
1.95912 3.35387 4.27024 
2.00814 3.38297 4.17855 
0.54014 2.4993 4.19345 
1.8535 3.42451 4.44945 
0.54909 2.40696 4.62292 
1.84444 3.47925 4.80647 
0.611513 3.02986 5.31251 
1.42252 2.69012 3.79711 
1.24501 3.18078 2.64849 
1.22841 2.61028 1.88278 
1.24747 2.66374 2.69228 
0.865614 3.24461 2.83422 
1.61189 3.02589 2.55113 
1.9957 3.11209 2.85351 
0.53044 3.07069 3.15218 
1.86534 2.81443 2.30023 
0.539226 2.98193 3.33033 
1.86102 2.86088 2.22804 
0.620371 3.07522 2.11995 
1.77525 2.83476 2.12755 
0.50246 3.00368 2.23521 
1.89485 2.81433 2.84758 
0.504979 3.1108 2.54191 
1.89215 2.82143 2.70109 
0.511455 3.03723 2.37172 
1.88392 2.84588 2.33508 
0.517859 3.0759 2.41459 
1.88198 2.7956 2.22112 
0.520819 3.04177 2.53421 
1.87744 2.87911 2.32684 
0.604638 2.82087 2.27151 
1.81917 3.18066 2.44199 
0.583498 2.71979 2.39889 
1.95996 3.09668 2.80188 
0.530372 3.11584 3.11068 
1.86758 2.76071 2.30613 
0.631695 3.12782 2.2771 
0.612368 3.13047 2.25087 
1.781 2.78965 2.6126 
1.81474 2.79807 2.21286 
0.465056 3.05381 2.42783 
0.415609 3.04289 2.85817 
1.98118 2.82073 2.66204 
0.419578 3.0587 2.52343 
1.98016 2.82467 2.51151 
0.422966 3.07702 2.6749 
1.97482 2.84361 2.75723 
0.528164 3.05114 2.50551 
0.338405 3.17572 3.79296 
2.12357 2.59094 4.09716 
0.277913 3.28799 4.06854 
2.11959 2.59802 4.07783 
0.437532 3.19338 4.14422 
0.405739 3.24035 3.52778 
1.99 2.6333 3.42174 
2.0335 2.61959 3.51559 
0.3639 3.30257 3.92383 
2.03056 2.59615 4.01786 
0.374517 2.8571 4.1782 
2.02807 3.1036 3.69201 
0.187794 2.81242 3.76008 
2.20789 3.1117 4.05737 
0.291046 2.81044 3.66596 
1.94725 3.23457 3.75447 
1.96283 3.19373 3.61706 
0.398429 3.0173 3.35762 
2.00313 2.78257 3.6376 
0.665289 3.15837 3.51704 
1.73398 2.69448 2.18487 
0.668541 3.18795 2.16659 
0.662515 3.19498 2.17942 
1.72589 2.87743 2.15475 
0.651111 3.15331 2.2627 
1.74715 2.70391 2.1818 
0.653694 3.20228 2.24613 
1.71219 3.1509 3.23811 
0.619765 2.2896 5.5238 
1.91073 3.53967 6.20759 
1.93312 3.48585 6.4268 
0.603767 2.77926 4.76631 
1.52033 3.23149 3.25354 
1.00067 2.74118 2.01268 
1.52911 3.19187 1.80659 
0.866033 2.64537 2.32604 
1.31715 3.10554 2.42523 
1.67216 2.96881 1.80597 
0.685261 2.81376 1.79245 
1.48073 3.1094 2.34855 
0.915056 2.73156 1.80912 
1.21053 3.19028 2.66385 
1.38663 2.78783 2.00036 
1.19467 3.09911 1.66134 
1.18796 2.71518 1.31934 
1.21004 3.18866 1.46334 
1.49371 2.65761 2.79966 
0.911314 3.24847 2.16732 
1.5315 2.91748 2.0407 
0.869373 2.94733 1.19958 
0.831636 2.95428 1.34629 
0.727671 2.94112 1.94248 
0.686217 2.97303 1.63731 
2.10992 2.58581 4.23807 
2.20519 2.57841 4.65183 
0.198432 3.32631 4.7968 
2.12798 2.5744 4.66639 
0.270288 2.90804 4.58459 
1.99418 2.98749 3.07858 
0.523264 2.84308 2.55154 
0.47987 2.85037 2.40828 
0.397006 2.86466 3.11566 
1.87786 2.92562 2.58731 
1.92853 2.79453 3.06403 
1.96329 2.794 2.54001 
2.00255 2.80718 2.6846 
0.486956 2.89668 2.7268 
1.91243 3.01285 2.28379 
0.489267 2.92478 2.63455 
1.65666 3.08916 2.90036 
0.694431 2.61647 2.67743 
1.43045 3.15534 3.25493 
1.09922 2.80496 1.58581 
1.02217 2.76949 1.20677 
1.2443 3.23473 1.94652 
1.06902 2.94505 1.8791 
0.994717 3.16043 1.46904 
1.23741 2.79302 1.74922 
0.867427 3.22213 1.93774 
1.53441 2.62306 2.1637 
0.82253 3.03376 2.07754 
1.66873 2.90902 1.55851 
0.638475 3.13099 2.30151 
0.557369 3.13621 2.29538 
1.84127 2.75168 2.24138 
0.564978 3.08957 2.76414 
1.83568 2.77744 2.12972 
0.564954 3.17047 2.85992 
0.464738 3.17811 2.85189 
0.417204 3.17985 2.9114 
1.98233 2.63644 3.69503 
0.421449 3.24046 3.32205 
1.9107 2.89647 3.17769 
0.493996 2.94438 2.60086 
2.01003 2.75443 3.28863 
0.472169 2.90143 2.93181 
1.92661 2.99621 2.26169 
0.547911 2.92146 2.20652 
0.327278 2.95302 2.83489 
0.250347 2.94686 3.24294 
2.14558 2.92152 3.3073 
0.255034 2.97157 3.13087 
1.97942 3.16347 3.77331 
0.435719 3.06429 3.31636 
0.368237 3.08005 2.76796 
0.280705 3.08441 3.20932 
0.230486 3.19366 4.1639 
2.04983 2.69227 3.73757 
0.357153 3.18684 3.66472 
2.036 2.75649 4.03631 
2.28598 2.72401 4.34377 
2.37778 2.69631 4.85895 
2.37996 2.7101 4.87129 
