2 50000
1.29701 2.29467 5.1943 
0.771015 3.70605 5.53131 
0.700204 3.06241 5.05316 
1.96366 3.17881 2.6727 
1.50836 2.84993 3.46178 
1.26875 2.94068 0.929331 
0.933597 2.80217 0.980037 
1.28283 3.22971 0.921304 
1.04803 3.10593 0.825432 
0.695026 2.91471 0.421019 
1.33532 3.11014 0.388468 
0.664109 2.89828 0.39702 
0.942951 2.86169 0.713309 
0.906355 2.79494 0.382663 
0.638512 3.27347 1.58881 
1.35374 2.44319 3.02942 
0.665532 3.55738 2.96033 
1.17856 2.00624 8.81033 
1.42752 2.66532 9.0599 
0.720116 3.4561 3.32313 
0.661386 3.03917 2.30742 
1.00063 2.39393 3.48515 
0.995613 3.65201 3.61751 
1.00532 3.68911 4.06026 
1.1688 2.23175 6.42983 
0.82763 3.79426 5.78965 
1.20498 2.201 5.62874 
0.87717 2.88051 6.52192 
1.18027 3.41903 1.59168 
1.18063 3.45419 1.83952 
0.818956 2.52996 1.96462 
1.16331 3.573 2.87995 
1.29332 3.10721 3.22335 
0.660617 3.18918 1.04162 
0.801919 3.12053 0.632049 
1.22665 2.83484 0.362558 
0.76156 3.18243 0.426473 
0.759771 2.90197 0.767251 
0.858917 2.7553 0.701213 
1.06362 3.62749 3.42771 
1.351 3.20029 3.9602 
0.351092 2.76095 1.64657 
1.69743 3.28237 1.89495 
1.35938 3.1262 2.08563 
0.999043 3.14384 1.01649 
0.824716 2.82772 0.526009 
1.07724 3.2318 0.993338 
1.03475 3.46658 1.87787 
1.09716 3.09264 1.99977 
0.944275 2.87864 0.230106 
0.640254 2.73685 0.925713 
1.40771 3.26375 1.1015 
0.597063 2.60936 1.77172 
1.03724 2.9368 2.55655 
0.775681 3.09203 0.228296 
1.0941 2.75962 0.713455 
0.821502 2.87907 0.903386 
1.27793 2.66179 1.32919 
1.25897 3.07864 1.69594 
1.11073 3.06918 0.281508 
0.752209 2.8612 0.32467 
1.24724 3.1551 0.383317 
0.865087 3.32765 1.27857 
1.10976 2.58843 1.50391 
0.890449 3.42721 1.58303 
0.872096 3.49495 2.13833 
0.996089 3.65428 3.74398 
0.682355 2.99803 5.07029 
0.453227 2.78843 1.31009 
0.634135 3.13926 1.69545 
0.638364 2.96139 0.638546 
1.39367 3.04492 0.406296 
0.418957 2.71395 1.63294 
0.773482 2.86742 1.83873 
0.982785 2.9795 0.443182 
1.76904 3.10317 1.58416 
1.77016 3.10351 1.59117 
1.34712 3.40005 3.2625 
1.41634 3.44569 2.12738 
1.40577 3.5306 2.87183 
0.592111 2.44717 3.13949 
1.36741 3.65874 4.20439 
1.40782 3.14578 4.30735 
0.555838 2.8149 1.57909 
1.5846 3.09659 1.28092 
1.28897 2.82393 1.58511 
0.72639 2.57086 2.15575 
0.61184 2.86066 1.96338 
1.33621 3.2304 1.1009 
1.3229 3.29723 1.07033 
0.750045 2.6047 1.69241 
1.10394 2.95284 2.178 
0.819756 2.50629 2.18172 
1.18916 3.50556 2.29092 
1.37267 3.09091 2.7389 
1.07497 3.23576 1.09721 
0.856692 3.10428 0.734473 
0.0980099 3.19207 2.38394 
0.529809 3.29726 3.13601 
0.477521 2.76792 2.80539 
0.710568 2.50504 3.0224 
1.05717 2.97956 3.15249 
1.32508 3.13672 0.449155 
0.596913 2.81085 0.71213 
1.22634 3.34325 2.21993 
0.947036 3.47218 2.2821 
0.843871 3.04036 2.25303 
1.36776 3.18624 0.684858 
1.36021 2.77448 1.63924 
0.52756 3.11166 1.80168 
1.46198 2.83253 0.946414 
1.26512 3.05504 0.988825 
0.893021 3.65226 3.89486 
1.07581 3.24604 3.80269 
0.866893 3.43511 1.73388 
0.687972 3.55962 2.96936 
1.23453 2.44037 2.99763 
1.5822 2.8799 3.93562 
1.39254 3.04963 1.09429 
0.305206 3.35547 2.51474 
0.316695 2.83629 3.45226 
1.66403 3.50195 3.78437 
0.355502 2.38378 4.43778 
1.82575 3.66147 5.90326 
0.282003 2.34329 5.91678 
0.428592 2.14584 7.64344 
1.53771 3.8539 7.04285 
1.62462 3.25202 7.31389 
2.03801 3.32695 3.66081 
-0.0714105 2.71429 3.91811 
0.30926 3.01645 3.87066 
1.80341 2.48807 4.54666 
0.0870871 3.61849 5.40615 
0.323077 3.24291 5.33464 
1.36993 2.36591 5.10521 
0.587638 3.65576 4.54277 
1.43611 2.34174 4.18032 
0.515014 3.66414 4.51266 
0.994255 3.16756 5.30373 
0.421038 2.51739 3.02358 
1.55873 3.48603 2.91794 
1.43325 3.13971 2.83199 
0.552887 3.49673 3.29094 
